id,name,artist,album,release_date,year
1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,Loreen,Tattoo,2023-02-25,2023
2IO7yf562c1zLzpanal1DT,Gasoline,Halsey,BADLANDS (Deluxe),2015-08-28,2015
2wqaekenSQZm7hxQOYt8oE,Am I Wrong,Nico & Vinz,Am I Wrong,2014-01-21,2014
0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,HEROES & VILLAINS,2022-12-02,2022
1XXimziG1uhM0eDNCZCrUl,Up,Cardi B,Up,2021-02-05,2021
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,DAMN.,2017-04-14,2017
15W8qc8Ok22EJGNwEKhiw9,GDFR (feat. Sage the Gemini & Lookas) - K Theory Remix,Flo Rida,GDFR (feat. Sage the Gemini & Lookas) [Remixes],2015-01-21,2015
5MLreTrtwv7fGyyAy0RyeB,See Me Fall - Y2K Remix,Ro Ransom,Momentum (Mixtape),2017-10-27,2017
4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,Kanye West,The Life Of Pablo,2016-06-10,2016
3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),Mustard,Perfect Ten,2019-06-28,2019
3w0w2T288dec0mgeZZqoNN,CARNIVAL,¥$,VULTURES 1,2024-02-09,2024
4MYWrbhij9Hzw0uiISC22V,GARDEN,KAMAUU,GARDEN,2024-02-20,2024
4XvcHTUfIlWfyJTRG0aqlo,2055,Sleepy Hallow,Still Sleep?,2021-06-02,2021
7fcQLY4j4QYQKzjh7UVFx3,AMG,Connor Price,AMG,2024-01-26,2024
68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,J. Cole,2014 Forest Hills Drive,2014-12-09,2014
4xhsWYTOGcal8zt0J161CU,Lovin On Me,Jack Harlow,Lovin On Me,2023-11-10,2023
4F7A0DXBrmUAkp32uenhZt,Party Monster,The Weeknd,Starboy,2016-11-25,2016
1ZdhOMWyFR8Iv9eylMGYg2,Mount Everest,Labrinth,Imagination & the Misfit Kid,2019-11-22,2019
5fKnbvuXyMMKhQnl0UJr7A,Pandora,2WEI,Pandora,2021-09-08,2021
6VObnIkLVruX4UVyxWhlqm,Skyfall,Adele,Skyfall,2012-10-04,2012
2PWTZV5znjLtZC5T1EVJvL,this is what falling in love feels like,JVKE,this is what ____ feels like (Vol. 1-4),2022-09-23,2022
4yNk9iz9WVJikRFle3XEvn,golden hour,JVKE,this is what falling in love feels like (554Hz),2022-10-03,2022
56sxN1yKg1dgOZXBcAHkJG,"Gone, Gone, Gone",Phillip Phillips,The World From The Side Of The Moon,2012-01-01,2012
7MC4XR9M9amdmKQr2iDF7i,Iko Iko (My Bestie),Justin Wellington,Iko Iko (My Bestie),2019-06-03,2019
6Cds0aUGW0olm8E5kxSZ5J,Million Cash,Connor Price,Million Cash,2023-12-29,2023
0AAMnNeIc6CdnfNU85GwCH,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02,2023
6bK9BH9Ts8Gj5JFvnQkzak,Get Busy,Sean Paul,Dutty Rock (20th Anniversary),2022-11-11,2022
1i36kkhmhBxf4lYJscg5zK,Fantasy,Bazzi,COSMIC,2018-04-12,2018
21hKipgjcM6JL2mmoUKrQi,TWINNEM (Remix) (feat. DaBaby),Coi Leray,TWINNEM (Remix),2021-11-09,2021
6uWykkthdJzx6GMLcFI2iB,My City,24kGoldn,My City (FAST X Soundtrack),2023-05-17,2023
58q2HKrzhC3ozto2nDdN4z,I Like It,Cardi B,Invasion of Privacy,2018-04-06,2018
6PetYmvjKZBjiUYlnlAcn1,this is what space feels like,JVKE,this is what space feels like,2023-09-25,2023
4slSrbTK1sNK4I1mDYEthf,Rover (feat. DTG),S1mba,Rover (feat. DTG),2020-03-04,2020
5i99T8X70PQkahSoZ1biEV,Revived,Kaiika,Lucky 13,2021-01-01,2021
6Jzdxguk63s6CVVXHIrQ0x,Own Brand Freestyle,FelixThe1st,Own Brand Freestyle,2021-10-29,2021
6kl4BepuY8tUgCt0FInh2f,Tigini,Kikimoteleba,Tigini,2021-05-21,2021
32Mh7kOCWmNTZgre0cGvCV,Hislerim,Serhat Durmus,Hislerim,2018-08-10,2018
1xIqDFx3KdByBnKMlTECcM,Coming for You (feat. A1 x J1),SwitchOTR,Coming for You (feat. A1 x J1),2021-10-29,2021
